CODE,pl
NAME,Polski
LBR_NAME,Lifecycle Rebalance Revisited
LBR_DESC,"Zwiększa i tworzy losowość długości życia mieszkańców, generuje losowy wiek, poziom wykształcenia imigrantów oraz zmienia sposób podróżowania mieszkańców z i do pracy"
LBR_SPN,Długość życia
LBR_SPN_WRN,Ostrzeżenie
LBR_SPN_BAL,Zmiana ustawień podczas gry może na stałe zakłócić balans miasta.
LBR_SPN_BAK,ZALECANE wykonanie kopii zapisu przed dokonaniem zmian.
LBR_CAL,Model kalkulacji cyklu życia
LBR_CAL_SUN,Mod Sunset Harbor długość życia (domyślny)
LBR_CAL_LEG,"Zmodyfikowana stara żywotność(oryginalny WG mod) - krótsze życie, mniej seniorów"
LBR_CAL_VAN,"Vanilla Sunset Harbor długość życia - mniej zmienna długość życia, odrobinę więcej seniorów"
LBR_SHO,(tylko gdy używane są modyfikacje Sunset Harbour długości życia)
LBR_RET,Opcje wieku emerytalnego
LBR_RET_USE,Używaj niestandardowego wieku emerytalnego
LBR_RET_CUS,Niestandardowy wiek emerytalny
LBR_RET_NT1,"Zmniejszenie wieku emerytalnego nie zmieni statusu mieszkańców, którzy są już na emeryturze przed zmianą ustawień."
LBR_RET_NT2,"Zwiększenie wieku emerytalnego nie zmieni wyglądu mieszkańców, którzy są już na emeryturze przed zmianą ustawień."
LBR_HEA,Zdrowie
LBR_HEA_ILL,Losowy % szans na choroby w dekadzie życia
LBR_HEA_ILD,"Nie wpływa na choroby z określonych przyczyn, np. zanieczyszczenie lub hałas"
LBR_HEA_AGE,Wiek
LBR_DTH,Zgon
LBR_DTH_TRN,% martwych ciał wymagających transportu po śmierci
LBR_DTH_TRD,"(Domyślnie dla gry 67%, domyślnie dla modyfikacji 50%)"
LBR_IMM,Imigracja
LBR_IMM_VAR,Zastosuj zróżnicowanie 25% dla poziomów edukacji imigrantów
LBR_IMM_INC,Zwiększ średni poziom wykształcenia imigrantów
LBR_IMM_DEC,Zmniejsz średni poziom wykształcenia imigrantów
LBR_SET,Ustawienia
LBR_SET_LGD,Rejestruj zgony w 'Lifecycle death log.txt'
LBR_SET_LGI,Rejestruj imigrantów w 'Lifecycle immigration log.txt'
LBR_SET_LGT,Rejestruj niestandardowe opcje transportu w 'Lifecycle transport log.txt' OSTRZEŻENIE - SPOWOLNIONE DZIAŁANIE!
LBR_SET_LGS,Rejestruj zdarzenia dotyczące chorób w „Lifecycle disease log.txt”
LBR_SPD,Szybkość
LBR_SPD_FAC,Czynnik spowolnienia starzenia się obywateli w porównaniu z grą podstawową.
LBR_SPD_FN1,"1 jest podstawową szybkością gry (35 tygodni w grze to 10 lat), 2 to dwa razy wolniej (70 tygodni w grze to 10 lat), 3 to trzy razy wolniej itd. Mnożnik 15 będzie oznaczał, że mieszkańcy będą się starzeć w przybliżeniu o rok w czasie każdego roku w grze."
LBR_SPD_FN2,"Nie wpływa na cykle życia ani na wiek - tylko szybkość, z jaką starzeją się obywatele względem szybkości gry."
LBR_SPD_FN3,"(Domyślnie dla gry 1, Domyślnie dla modyfikacji 3)"
LBR_TRN,Transport
LBR_TRN_CUS,Użyj prawdopodobieństwa niestandardowych rodzaji pojazdów
LBR_TRN_WEA,Poziom zamożności
LBR_TRN_CAR,Prawdopodobieństwo użycia samochodu (%)
LBR_TRN_BIK,Prawdopodobieństwo użycia roweru (%)
LBR_TRN_TAX,Prawdopodobieństwo użycia taksówki (%)
LBR_TRN_RLO,Niskie zagęszczenie
LBR_TRN_RHI,Wysokie zagęszczenie
LBR_TRN_ERL,Ekologiczne niskie zagęszczenie
LBR_TRN_ERH,Ekologiczne wysokie zagęszczenie
LBR_TRN_CHL,Dziecko
LBR_TRN_TEN,Nastolatek
LBR_TRN_YAD,Młody dorosły
LBR_TRN_ADL,Dorosły
LBR_TRN_SEN,Senior
LBR_DEF,domyślny
LBR_RTD,Zresetuj do ustawień domyślnych
LBR_RTS,Przywróć do ustawień zapisanych
LBR_SAA,Zapisz i zastosuj
LBR_ZRO,Ustaw wszystko na 0
TRN_CHOICE,Ustaw język
TRN_SYS,Użyj języka systemu
MES_CLS,Zamknij
MES_DSA,Nie pokazuj ponownie
MES_PAGE,Więcej informacji znajdziesz na stronie modyfikacji w Warsztacie Steam.
LBR_CON,Wykryto konflikt modyfikacji
LBR_ERR_FAT,"Oznacza to, że Lifecycle Rebalance Revisited nie może działać prawidłowo i został wyłączony."
LBR_ERR_HAR,Lifecycle Rebalance Revisited nie był w stanie dokończyć instalacji wymaganej biblioteki Harmony w aktualizacji.
ERR_HAR0,Błąd aktualizacji biblioteki Harmony!
ERR_HAR1,Możliwe przyczyny tego problemu to:
ERR_HAR2,Wymagana biblioteka Harmony 2 modyfikacji nie została zainstalowana
ERR_HAR3,Przestarzała i/lub uszkodzona modyfikacja uniemożliwia prawidłowe działanie biblioteki Harmony 2
ERR_CON0,Wykryto konflikt modyfikacji!
ERR_CON1,Skonfliktowane modyfikacje:
LBR_ERR_CON0,Lifecycle Rebalance Revisited wykrył konflikt z co najmniej jedną inną modyfikacją.
LBR_ERR_CON1,Te modyfikacje muszą zostać usunięte do prawidłowego działania Lifecycle Rebalance Revisited.
LBR_150_TIT,Lifecycle Rebalance Revisited został zaktualizowany do wersji 1.5
LBR_150_NT1,"Wybór środków transportu można teraz edytować za pomocą panelu opcji, a ekologiczne i zwykłe mieszkanie może mieć różne tryby pracy"
LBR_150_NT2,Poziom edukacji ludności wprowadzającej się do twojego miasta może być modyfikowany
LBR_151_NT1,Dostosuj układ panelu opcji do tłumaczenia
LBR_152_NT1,"Samotni rodzice z niepełnoletnimi dziećmi mieszkającymi w domu będą chronieni przed przedwczesną śmiercią, aby zapobiec osieroconym gospodarstwom domowym"
LBR_152_NT2,Ulepszone sprawdzanie i powiadamianie o konfliktach modyfikacji
LBR_152_NT3,Ulepszone powiadomienia o aktualizacjach
